place_id,year,month,northdeg,city_id,lat,lon,panoid
5604,2018,9,219,Lisbon,38.74838389624318,-9.224147567543676,nCgszbJ1SAj83ZNaBNU3uA
4963,2018,5,107,Lisbon,38.74309116212751,-9.229928469104854,PFF6BwVnrHkmoDJ_croJYQ
6408,2019,10,341,Lisbon,38.75410665183092,-9.1811774174731,py-WjANMfVXI3I6-lnYaoA
825,2018,7,129,Lisbon,38.71019104138551,-9.177949085347166,wsd5Zhio3pksBgKjORwmOA
6967,2019,10,289,Lisbon,38.75818405103651,-9.127091533775248,5r026hIwURlGAe5yqckrFw
3297,2019,11,144,Lisbon,38.72792979271584,-9.12019289040546,wieXuf04c4HWLKJ3nON2DA
2023,2019,11,293,Lisbon,38.71923360625841,-9.123034723960844,HoZMws7a-3ZxI6vedbdf_g
6649,2014,7,85,Lisbon,38.75617353425746,-9.194703516108351,rEBpMQnoXQkrFrMUQ5kmuQ
6609,2014,11,93,Lisbon,38.75616776253266,-9.236921335228736,CYa9WQ2wnS51G1LL0XkKpw
2594,2018,6,123,Lisbon,38.72375943553224,-9.187574855179534,obNsIbQbp7TbYI9YAjBeAA
1610,2009,7,357,Lisbon,38.7162189613273,-9.154892839423868,wgWVZfu6EDHgDCZ9ClV2_g
5551,2019,9,15,Lisbon,38.74754616898026,-9.153090182608649,CKWOOCeWVWTiRUs6-lED6g
544,2009,7,268,Lisbon,38.70792796633515,-9.205597585238896,Kxyetv7vX8ZgPQFJ9OZ3Bw
1228,2020,11,194,Lisbon,38.71318583748673,-9.155728240153095,OMIlIdCSNLmyP6mg2DNbZg
7174,2018,9,323,Lisbon,38.76007168257421,-9.177901322740894,PBMPzCZP1TA2ap-Wq_R96g
5471,2018,9,330,Lisbon,38.74718520059244,-9.232197840059635,Q_oIquTCbehby6EICNX-lQ
5317,2009,5,71,Lisbon,38.74513611316971,-9.130735494463847,RxgkU9anLD2Yy9VHHXN8tw
3208,2018,9,129,Lisbon,38.72937833319859,-9.20408789694368,ylK7t8U15W2sVhrPe9qQzA
662,2018,6,303,Lisbon,38.70902612868174,-9.213999733113717,DQT9fJgN-uf5r2403MYHjg
9101,2020,11,353,Lisbon,38.77516444197033,-9.151974795415482,orDQbhhvuAmPHPr_L5cd1Q
2844,2020,12,178,Lisbon,38.72618180559137,-9.195027553468938,z1eKzwrapBtnLkC7cnIRwA
8082,2014,7,95,Lisbon,38.7672620988879,-9.159883303972212,KTQILnVTFRG-_NypDdBuUA
5449,2009,5,120,Lisbon,38.74683807218663,-9.125981407471238,A0iK2VOSnwwKIP5tS4aDPQ
950,2019,10,252,Lisbon,38.71122922767176,-9.18004211651342,qsUiuS_hjI38qeKFOQPAQw
7538,2018,9,344,Lisbon,38.76352143970249,-9.19890141189357,3rQsDfEZujFsaE17yRxIFQ
3875,2019,10,59,Lisbon,38.73450198441046,-9.17476593457,z5cXKQY5DIEGhKkObL7j9Q
2156,2020,11,169,Lisbon,38.72033644558814,-9.117068969686375,IQnRgxIuzDF13OsmB5-qzA
62,2014,8,107,Lisbon,38.70411730628754,-9.17878760477725,0ID6_pfDUzIPA_s9GrjbSA
4415,2014,6,56,Lisbon,38.73835513675921,-9.145044603690195,_YeKsWmvvmX8WQC_Nz4fow
518,2019,9,312,Lisbon,38.70822580198272,-9.230994863698143,ii9w2ZTu22sbU7nle4Xlig
3049,2018,6,24,Lisbon,38.72837999090744,-9.238138508337776,g1knc_aB3qnmq9Kxg8O5Fg
3279,2009,6,72,Lisbon,38.72916785306145,-9.140931563139883,SbMhVXn945L35Ptz3w75pg
865,2020,11,301,Lisbon,38.71026561854687,-9.13794800482575,ji5xS40j8LtZMC8M3zznwQ
7222,2018,7,50,Lisbon,38.76072493576329,-9.133235080771207,p0zerfHKqb1N7dXe7Yhq5Q
426,2018,4,260,Lisbon,38.70728402891526,-9.196006767072577,-H01qJ1KhFn9jQwhVnzmSw
1541,2019,9,308,Lisbon,38.71630131090006,-9.22412308606444,5u65ttnwf655Q4TXgcl21g
7917,2014,7,338,Lisbon,38.76693392066234,-9.197572639145392,0g901-rJyxbNORaFFnNyHA
300,2020,11,314,Lisbon,38.70643135071683,-9.19456697883474,OngPZxE9FQ7LRBPUjFbVkg
1941,2018,6,262,Lisbon,38.7206408898314,-9.205704323511274,PgeZgJ-22IsC_yb7FnYtGQ
5465,2009,8,320,Lisbon,38.74731970539534,-9.24001316024363,VjFbqUB9HUB3DzbpRIt7Ng
405,2018,6,168,Lisbon,38.70708172199074,-9.216025079674024,hNh54J__ABJgp6YuIoyUhg
6993,2014,8,136,Lisbon,38.75925367016918,-9.23299674926326,uIxWuCIlT7Vv4lDmoPfyAw
2913,2018,8,65,Lisbon,38.72626885516728,-9.122874960284872,u7FeDNsglstMGVKIq_BPMA
8045,2019,9,351,Lisbon,38.76772838983928,-9.197036062351716,sL0IE3PATXwwT7lHnO6Apg
165,2020,12,220,Lisbon,38.70541543574042,-9.20297489792833,Dt8oeRMMW76ezY7y2y8YlA
2215,2009,7,181,Lisbon,38.72097769164723,-9.185820629355485,M6RcAab6xn1cZ787uv0aug
1743,2014,5,177,Lisbon,38.71709801353811,-9.149186457583284,b9v5d8HbxaBtkEu1ufPEzA
8949,2014,7,7,Lisbon,38.77420322222264,-9.177962155857088,IuyLqoyHCYiOwUyvTZQl-g
7457,2020,11,124,Lisbon,38.76219727135708,-9.152097748277264,4ShcZbcC-np_tdnZe_bYhA
69,2018,8,260,Lisbon,38.70423465971744,-9.172239150929132,NjyOnQ6Ak_HZvRjsCzANNQ
2638,2009,6,337,Lisbon,38.72407037721414,-9.143269945024938,D8yU0GIru6kel0rzvZ8voQ
3931,2020,11,139,Lisbon,38.73430354669121,-9.11860850214069,zuSW4imBiqhPBGunrzDbqw
6528,2019,10,15,Lisbon,38.75561464360874,-9.190688621292091,0fu9XUvH2XborEov0-b8UQ
7327,2015,1,328,Lisbon,38.76108335918048,-9.150925489399931,vXe1LTlu46YFa__nGCsRrA
4829,2019,10,152,Lisbon,38.74240034996316,-9.23811076735142,lDK_l5JfElsSzQ6Ws5Jm5w
3833,2020,10,117,Lisbon,38.73422198043205,-9.22079099382112,jZ1WSDq68TdWzYq3_6Dm7g
8033,2009,8,124,Lisbon,38.76711397710456,-9.214139828108124,jGbxcyjlwpyA7S03yhh1vA
600,2015,2,191,Lisbon,38.70829015153981,-9.14907635702983,A2qV_GnRxaOKX6P8hEjaBQ
7328,2014,7,23,Lisbon,38.76135110310763,-9.149180260005098,R-cvRl3SJR6qTKCX4z7jCQ
919,2019,9,167,Lisbon,38.71127252200761,-9.210882590152822,OYz-QVyostq9j1nTVyKAtg
2784,2018,9,325,Lisbon,38.72535701692531,-9.12803213256914,GZU-TAzYXV3IGhxppmsfpA
1760,2009,7,249,Lisbon,38.7170102341571,-9.132612351376356,7Tt9GHooqaVMHwhiPkySWQ
7316,2019,10,297,Lisbon,38.76159057656903,-9.165940198591851,snGoaEr9awGlVG0IKjyUuA
5750,2009,6,334,Lisbon,38.74926891379708,-9.202965565185789,pXgVGW9tV8KVP4OnFS29Dw
1681,2014,8,248,Lisbon,38.71709305964465,-9.210974030827408,WAFl0OuFBGGIIB8R5W9hUA
6848,2009,5,86,Lisbon,38.75722553806901,-9.125803672240146,GUmw6IfS3nIFtfpQo7LiHw
6681,2019,10,341,Lisbon,38.75746798423585,-9.163530902768102,Bd-H2vVumlg7cetO1KpPKg
7071,2018,4,99,Lisbon,38.75907123484954,-9.158975258613465,GVSJIx2A04nfkeOtfUBGbA
7199,2014,7,338,Lisbon,38.76021832829426,-9.156866641927662,QVI9sC3hMZ9CDdKctGKG8g
7752,2009,8,301,Lisbon,38.76521492463,-9.23703555453975,h8bkSL8DT11nLuz_PKG3zA
7704,2014,7,280,Lisbon,38.76400064641432,-9.160901020979477,_Wq4PRGSa-OOLCDTcBQLoA
2253,2014,5,19,Lisbon,38.72123602125222,-9.14701895505218,NT8KiLT8Finh1yeXnj4N8w
8241,2019,10,245,Lisbon,38.76824545266958,-9.126161693316757,VPVJOwZvVnuzGQNLhnwKYw
6086,2019,10,308,Lisbon,38.75132945818849,-9.123909139296956,VOEr1sOenNPSQwKQbDldnA
6939,2020,12,333,Lisbon,38.75758581747579,-9.163792768124356,XHzZULxbvteg-h9QKPcLmQ
3637,2014,5,270,Lisbon,38.73225564370819,-9.157983924138303,AWw0d0hi5wGFEOxrSTDeDA
961,2020,11,325,Lisbon,38.71096920458641,-9.168692899577705,dcGpn1e6pBUZoxv4DI1jEg
9137,2009,5,95,Lisbon,38.77522363270691,-9.119202363291608,qEd6iP5Jvg5kwp01wf8zDg
6303,2014,6,274,Lisbon,38.75329055655249,-9.15798280720812,w1TmyCF8-RcGyRjQYbuavg
5022,2018,5,272,Lisbon,38.74367474513803,-9.167440705221384,x6BoR1isOst36zFzuLJKTg
2784,2020,11,327,Lisbon,38.72535911665889,-9.128026283643448,1CSlmis2LyzSuc7zwXgE-A
1414,2018,9,87,Lisbon,38.71513048901959,-9.224115146442914,50L7ch9zJWg4fFatrviOjQ
2320,2020,10,0,Lisbon,38.72073694620009,-9.20673746618764,35v8NZYj76zzOU3oJbrnUw
2197,2018,6,18,Lisbon,38.7214819598679,-9.203100142561448,CpISIu6URFp2NIiU6P8EBA
704,2019,10,124,Lisbon,38.70917505412228,-9.172010687425017,mJ44yDZ1NHVq869ZnRduNA
3877,2020,12,152,Lisbon,38.73421819375823,-9.174253619225633,Q-YCt548zhOjCDjtiBioDw
8275,2019,10,73,Lisbon,38.76930599589155,-9.22084187906648,zf3YzlNIS_McVN54xFl-0g
4909,2014,6,356,Lisbon,38.74234189219813,-9.15675768748038,zvYqHjjr4Y7t-H06kxt5-A
7532,2019,10,246,Lisbon,38.76318081253024,-9.20500990187198,DmRW1d8ZVAZh4ZVQvbcrtg
6929,2018,4,217,Lisbon,38.75811383966771,-9.171237501893383,uWETfr_3qmjTFSJEXqscpw
3210,2018,4,257,Lisbon,38.72927924654158,-9.208947648996736,8YN6JD6KiLjBggp9IgRjIA
7599,2018,5,56,Lisbon,38.7632108650428,-9.134952064042588,r_UgjgObm_GH_pbhcUg-hg
1438,2019,9,320,Lisbon,38.71513914759576,-9.20122840771579,FSocZ0-BiBb8WI7MG6vZRQ
1100,2009,7,87,Lisbon,38.71203680123665,-9.156847347148496,y6aVhscu30zTEyS-_HD9Gg
7241,2018,9,319,Lisbon,38.76124478704816,-9.235963052576288,KkbVQDuPlKPas691N3Cs1w
1079,2014,7,102,Lisbon,38.71224584649282,-9.177668965872114,DOzTeF3EvxJsLS5xCJRMbA
7930,2009,5,159,Lisbon,38.76619309064851,-9.186972724879997,alFO80iHNwRdb2lu6zX7IA
2284,2009,5,174,Lisbon,38.7214807057121,-9.116432295248934,qfVEP1q4n0sTeNYOxBFinw
4215,2019,10,178,Lisbon,38.73709359758721,-9.214989014441466,yMWsCgS2sgifr6x17XBXEQ
8582,2019,9,42,Lisbon,38.77123143277667,-9.168969539352354,pMiKiSma_3NJh0Yy_mF8iQ
